domain,name,tier,cluster,status,stage,hq,founded,first_seen,last_checked,what,why_tier,evidence_url,notes
slack.com,Slackbot / Salesforce Agentforce,1,incumbent,feature,public,"San Francisco, US",2009,2026-06-10,2026-06-10,"Slackbot relaunched Jan 2026 as MCP client + agentic orchestrator across 6000+ apps incl. Workspace, M365, Notion, Workday; 30 AI features at TDX 2026",'Front door to the agentic enterprise' — conversational layer over everyone's tools,https://techcrunch.com/2026/03/31/salesforce-announces-an-ai-heavy-makeover-for-slack-with-30-new-features/,
atlassian.com,Atlassian Rovo,1,incumbent,feature,public,"Sydney, AU",2024,2026-06-10,2026-06-15,AI search + chat + agents on Teamwork Graph; at Team '26 (May 2026) Atlassian opened the Teamwork Graph (150B+ connections) as a cross-tool context layer spanning Atlassian + third-party tools and evolved Rovo from helper into agentic execution (plan + run multistep work autonomously); 5M+ MAU; bundled into paid Atlassian Cloud plans,"Cross-SaaS graph + agents, given away with Jira/Confluence — pricing pressure",https://venturebeat.com/ai/atlassian-introduces-rovo-an-ai-powered-knowledge-discovery-tool-for-the-enterprise,"also acquired Secoda (Dec 2025); Team '26 = clearest incumbent move toward open-loop, autonomous cross-tool action"
dropbox.com,Dropbox Dash,1,incumbent,feature,public,"San Francisco, US",2023,2026-06-10,2026-06-10,"Universal search across Drive, OneDrive, Notion, Asana, Salesforce, Box; 2026: MCP server, semantic image search, AI Stacks; folded into main Dropbox app",The analogue Astell cites; now an upstream context source for other agents via MCP,https://dash.dropbox.com/release-notes,
notion.com,Notion Enterprise Search,1,incumbent,feature,public,"San Francisco, US",2016,2026-06-10,2026-06-10,"Enterprise Search across Notion + Slack, Drive, GitHub, Jira, Teams, OneDrive, SharePoint, Salesforce, Box; permission-mirrored; cited AI answers","Functionally nearest incumbent feature to Astell's core, anchored in Notion-native teams",https://www.notion.com/product/enterprise-search,
openai.com,OpenAI Workspace Agents (ChatGPT Enterprise),1,incumbent,feature,public,"San Francisco, US",2015,2026-06-10,2026-06-15,"Always-on cloud agents (Apr 2026) plugged into Slack, Salesforce, M365, Drive, GitHub, Notion + 60+ apps; write actions; MCP connector ecosystem",Continuous (not one-shot) cross-SaaS agents = direct move toward open-loop detection,https://openai.com/index/introducing-workspace-agents-in-chatgpt/,"Canonical OpenAI Workspace Agents announcement confirmed (was secondary-blog); always-on agents across Slack, Salesforce, M365, Drive, GitHub, Notion + 60+ apps; free through Jul 6 2026, then credit-based pricing"
dashworks.ai,Dashworks,1,direct,acquired,acquired,"San Francisco, US",2020,2026-06-10,2026-06-10,AI workplace search assistant; acquired by HubSpot (Apr 2025) to power Breeze AI search,Was direct-lane; acquisition = suites buying the category,https://venturebeat.com/ai/dashworks-launches-ai-assistant-to-streamline-internal-knowledge-for-enterprises-raises-5m,consolidation signal
unleash.so,Unleash,1,direct,acquired,acquired,"Tel Aviv, IL",2019,2026-06-10,2026-06-10,AI enterprise search across 70+ sources; acquired by Zendesk (Dec 2025) for employee-service AI,Was direct-lane; consolidation signal,https://www.zendesk.com/newsroom/press-releases/zendesk-acquires-unleash-to-enhance-ai-first-employee-service-business/,
akooda.co,Akooda,1,direct,acquired,acquired,"Tel Aviv, IL",2020,2026-06-10,2026-06-10,Ops intelligence / work graph across SaaS tools; acquired by Tulip (Nov 2025),Was closest 'work graph' analog; consolidation signal,https://www.calcalistech.com/ctechnews/article/r1bj3jcxbl,
qatalog.com,Qatalog,1,direct,acquired,acquired,"London, UK",2019,2026-06-10,2026-06-10,Work hub / knowledge layer; acquired by ClickUp (2025),Was direct-lane; consolidation signal,https://clickup.com/qatalog-acquisition,
sanalabs.com,Sana (Workday),1,direct,acquired,acquired,"Stockholm, SE",2016,2026-06-10,2026-06-10,Enterprise AI search + knowledge platform; acquired by Workday for ~$1.1B (Nov 2025); now Workday's cross-system AI layer,$1.1B exit validates category; now suite-bound,https://newsroom.workday.com/2025-09-16-Workday-Signs-Definitive-Agreement-to-Acquire-Sana,
tanderrum.ai,Tanderrum,2,data-intel,active,bootstrapped,"Melbourne, AU",2020,2026-06-10,2026-06-10,"14-module enterprise data platform: enterprise search + lineage + conversational BI over structured + unstructured data; verticals: manufacturing, banking, insurance, construction, mining, legal","THE TRIGGER COMPANY. Same promise in data-vocabulary; 2-6 people, no disclosed funding, no press/Crunchbase/G2 — launched via LinkedIn mid-2025",https://tanderrum.ai/,why-we-missed-it case study; monitor founders Roshan Edirisinghe + Rizvi Amith on LinkedIn
read.ai,Read AI,2,chief-of-staff,active,series-b,"Seattle, US",2021,2026-06-10,2026-06-10,"Meeting intelligence + search connecting meetings, email, Slack into a personal knowledge graph with proactive surfacing",Cross-tool but meeting-first and individual-level; one pivot from direct,https://www.read.ai/,
hebbia.com,Hebbia,2,vertical,active,series-b,"New York, US",2020,2026-06-10,2026-06-10,Matrix: tabular multi-document AI reasoning; $130M Series B at $700M (a16z); 1B+ pages processed; finance/legal focus,Deep doc intelligence but vertical; doesn't ingest Slack/email/PM tools,https://www.hebbia.com/blog/hebbia-raises-usd130m-series-b,
perplexity.ai,Perplexity Enterprise,2,direct,active,late-stage,"San Francisco, US",2022,2026-06-10,2026-06-10,"AI search; $200M ARR, ~$20B valuation (Sep 2025); enterprise tier with internal-search ambitions",Distribution + brand; internal-connector depth still shallow — watch the enterprise tier,https://techcrunch.com/2025/09/10/perplexity-reportedly-raised-200m-at-20b-valuation/,
cohere.com,Cohere North + Compass,2,employee-assist,active,late-stage,"Toronto, CA",2019,2026-06-10,2026-06-10,Secure AI workspace (North) + enterprise search (Compass); $240M ARR end-2025; private/on-prem deployment for regulated industries,"Cross-SaaS search exists but differentiation is sovereignty, not the graph",https://venturebeat.com/ai/cohere-launches-north-to-redefine-enterprise-ai-with-security-and-customization-at-its-core,
servicenow.com,ServiceNow + Moveworks,2,employee-assist,feature,public,"Santa Clara, US",2004,2026-06-10,2026-06-10,$2.85B Moveworks acquisition closed late 2025; 'Autonomous Workforce' AI specialists resolving employee IT/HR requests with cross-system context,"Strong cross-tool context, bounded by ITSM frame",https://www.cxtoday.com/crm/servicenow-moveworks-acquisition/,
aisera.com,Aisera (Automation Anywhere),2,employee-assist,acquired,acquired,"Palo Alto, US",2017,2026-06-10,2026-06-10,Employee self-service AI assistant; acquired by Automation Anywhere (Nov 2025),Consolidation signal in employee-assistant cluster,https://www.automationanywhere.com/company/press-room/automation-anywhere-acquires-aisera-supercharge-autonomous-enterprise,
leena.ai,Leena AI,2,employee-assist,active,series-b,"San Francisco, US / IN",2018,2026-06-10,2026-06-10,Autonomous conversational AI for HR/IT employee service; $40M raised (Bessemer); independent,Employee-assistant overlap on EX use cases only,https://tracxn.com/d/companies/leena-ai/,
writer.com,Writer,2,employee-assist,active,series-c,"San Francisco, US",2020,2026-06-10,2026-06-10,"Full-stack enterprise AI on Palmyra models; agentic workflows + knowledge grounding; $1.9B valuation; Uber, Qualcomm","Competes at AI layer, not context-ingestion layer — but expanding",https://writer.com/blog/series-c-funding-writer-press-release/,
kore.ai,Kore.ai,2,employee-assist,active,series-d,"Orlando, US",2014,2026-06-10,2026-06-10,Conversational AI platform: search + agents + CX/EX automation; $296M raised; Series D Jan 2026 (AllianceBernstein),Enterprise search is one module in a broad platform,https://www.kore.ai/news/kore-ai-secures-strategic-growth-investment-from-alliancebernstein-to-scale-the-next-phase-of-agentic-enterprise-ai,
zoom.com,Zoom AI Companion 3.0,2,incumbent,feature,public,"San Jose, US",2011,2026-06-10,2026-06-10,"Agentic search across Salesforce, Workday, ServiceNow, Box via MCP; transcripts shareable to external AI tools",Meeting-frame; MCP makes Zoom a context source more than a context layer,https://news.zoom.com/zoom-mcp-expanded-capabilities/,
box.com,Box AI / Box Agent,2,incumbent,feature,public,"Redwood City, US",2005,2026-06-10,2026-06-10,Box Agent (Apr 2026): NL search + multi-step reasoning over content library; custom agents via AI Studio,"Strong on unstructured docs, bounded to Box perimeter",https://www.businesswire.com/news/home/20260402112577/en/Box-Unveils-the-Box-Agent-to-Transform-How-Enterprises-Work-With-Content,
clickup.com,ClickUp Brain MAX,2,incumbent,feature,public,"San Diego, US",2017,2026-06-10,2026-06-10,Standalone desktop app searching ClickUp + Drive + GitHub + OneDrive; MCP-exposed; multi-model; Super Agents,PM-frame cross-tool search; absorbed Qatalog,https://clickup.com/brain,
getguru.com,Guru,2,direct,active,series-c,"Philadelphia, US",2015,2026-06-10,2026-06-10,Knowledge platform: AI search + verified cards + in-context delivery; curate-first rather than ingest-first,Adjacent: write/curate system vs Astell's read/ingest graph,https://www.getguru.com/,
spinach.ai,Spinach AI,2,chief-of-staff,active,seed,"New York, US",2021,2026-06-10,2026-06-10,"AI meeting assistant: runs meetings, summaries, post-meeting task automation",Meeting-bounded; no cross-tool graph,https://www.spinach.ai/,
fellow.ai,Fellow,2,chief-of-staff,active,series-a,"Ottawa, CA",2019,2026-06-10,2026-06-10,"Meeting management platform: agendas, transcripts, action items across meeting lifecycle",Action tracking confined to meetings,https://fellow.ai/,
range.co,Range,2,chief-of-staff,active,series-a,"San Francisco, US",2018,2026-06-10,2026-06-10,"Async team check-ins, standups, goal tracking","Manual-input status, not automatic ingestion",https://www.range.co/,
cognee.ai,Cognee,2,infra,active,seed,"Berlin, DE",2024,2026-06-10,2026-06-10,AI memory layer for agents: persistent long-term context via knowledge graphs; €7.5M seed (Feb 2026),Same graph primitive sold B2B2B to agent builders,https://hyperight.com/cognee-seed-funding-ai-memory-technology/,
credal.ai,Credal,2,infra,active,seed,"New York, US",2023,2026-06-10,2026-06-10,Control plane for enterprise agents + MCP servers: permission-inheriting connectors with real-time sync; $5.3M (Spark + YC),Astell's mirror-permissions pillar as a standalone product; partner or rival,https://www.credal.ai/,
thoughtspot.com,ThoughtSpot,2,data-intel,active,late-stage,"Sunnyvale, US",2012,2026-06-10,2026-06-10,Search-driven analytics on structured data; $4.2B valuation; AI Agents (Dec 2025); new CEO Ketan Karkhanis,Data-vocabulary incumbent of Tanderrum's cluster,https://sacra.com/c/thoughtspot/,
omni.co,Omni,2,data-intel,active,series-c,"San Francisco, US",2021,2026-06-10,2026-06-10,AI analytics + governed semantic layer; ex-Looker founders; $120M Series C at $1.5B (Apr 2026),"Fastest-rising data-cluster player; semantic layer ≠ work graph, for now",https://fortune.com/2026/04/23/exclusive-omni-raises-120-million-ai-iconiq-lookr-unicorn-semantic-layer/,
textql.com,TextQL,2,data-intel,active,series-a,US,2022,2026-06-10,2026-06-10,"Agentic NL-to-SQL analyst 'Ana'; $17M Series A (Blackstone-anchored, Apr 2026); 9x YoY revenue; Dropbox + Scale AI customers",Warehouse-bound analyst agent,https://textql.com/blog/textql-raises-17m-blackstone,
zenlytic.com,Zenlytic,2,data-intel,active,series-a,US,2021,2026-06-10,2026-06-10,AI data analyst 'Zoë'; $9M Series A (M13); self-learning semantic layer (May 2026),Warehouse-bound BI agent,https://www.zenlytic.com/blog/zenlytic-secures-9-million-in-series-a-funding-led-by-m13-to-scale-ai-data-analyst,
tellius.com,Tellius,2,data-intel,active,series-b,"Herndon, US",2017,2026-06-10,2026-06-10,Agentic analytics + decision intelligence; Agent Mode v6.0 (Oct 2025); $36M raised,NL analytics on structured data only,https://www.tellius.com/,
mindsdb.com,MindsDB,2,data-intel,active,series-b,"San Francisco, US",2017,2026-06-10,2026-06-10,"Anton: open-source autonomous BI agent (Apr 2026); $50M+ raised (Benchmark, Mayfield, NVIDIA)",Open-source BI agents; structured-data scope,https://www.prnewswire.com/news-releases/mindsdb-launches-anton-an-open-source-autonomous-bi-agent-for-conversational-analytics-302732433.html,
gooddata.com,GoodData,2,data-intel,active,late-stage,"San Francisco, US",2009,2026-06-10,2026-06-10,Embedded agentic analytics + MCP server (Jan 2026); acquired Understand Labs (Sep 2025),Embedded BI platform adding agentic layer,https://www.gooddata.com/press-releases/gooddata-kicks-off-2026-with-mcp-server-launch-and-major-enterprise-wins/,
getwren.ai,Wren AI,2,data-intel,active,bootstrapped,Taiwan (remote),2023,2026-06-10,2026-06-10,Open-source agentic GenBI; context layer for agents over 20+ data sources; MCP-native; ~$1.5M ARR,Open 'context layer' framing in data cluster,https://www.getwren.ai/post/wren-ai-2025-year-in-review-from-open-source-to-agentic-bi-in-production,
answerrocket.com,AnswerRocket,2,data-intel,active,bootstrapped,"Atlanta, US",2013,2026-06-10,2026-06-10,Agentic BI; acquired Cognitive Spark (Apr 2025); bootstrapped since 2013,Long-running NL analytics player,https://answerrocket.com/answerrocket-acquires-cognitive-spark-to-accelerate-agentic-ai-transformation-for-enterprises/,
promethium.ai,Promethium,2,data-intel,active,series-a,"Menlo Park, US",2018,2026-06-10,2026-06-10,NL + automated data prep for self-service analytics; $34.5M raised; quiet since 2022 Series A,Dormant-looking; keep on low-frequency watch,https://promethium.ai/news/promethium-raises-26m-series-a-for-its-next-generation-collaborative-analytics-platform/,
seek.ai,Seek AI (IBM),2,data-intel,acquired,acquired,"New York, US",2021,2026-06-10,2026-06-10,NL-to-SQL enterprise Q&A; acquired by IBM (Jun 2025); integrated into watsonx,Consolidation signal in data cluster,https://techcrunch.com/2025/06/02/ibm-acquires-data-analysis-startup-seek-ai-opens-ai-accelerator-in-nyc/,
snowflake.com,Snowflake Intelligence,2,incumbent,feature,public,"Bozeman, US",2012,2026-06-10,2026-06-10,Cortex-based NL work agent over Snowflake data; positioning toward agentic-enterprise control plane; acquired Select Star (Nov 2025),Platform-bound but ambitions creep toward work context,https://www.snowflake.com/en/news/press-releases/snowflake-expands-snowflake-intelligence-and-cortex-code-to-power-the-control-plane-for-the-agentic-enterprise/,
databricks.com,Databricks AI/BI Genie,2,incumbent,feature,public,"San Francisco, US",2013,2026-06-10,2026-06-10,Conversational analytics in the Lakehouse,Platform-bound NL analytics,https://siliconangle.com/2026/06/07/snowflake-databricks-model-makers-battle-agentic-client-ai-back-end/,
datagpt.com,DataGPT,2,data-intel,dead,dead,US,2022,2026-06-10,2026-06-10,Conversational analytics; raised $11.9M; shut down late 2025,Cluster mortality datapoint,https://www.blazesql.com/blog/datagpt-shutdown-alternatives,
coveo.com,Coveo,3,direct,active,public,"Quebec City, CA",2005,2026-06-10,2026-06-10,"AI search + recommendations, primarily external-facing (commerce, service); TSX-listed","Outward-facing relevance engine, not work intelligence",https://tracxn.com/d/companies/coveo,
lucidworks.com,Lucidworks,3,direct,active,late-stage,"San Francisco, US",2007,2026-06-10,2026-06-10,Solr-based commerce/DX search; $218M raised,Commerce search,https://lucidworks.com/platform/lucidworks-enterprise-search-software,
alpha-sense.com,AlphaSense,3,vertical,active,late-stage,"New York, US",2011,2026-06-10,2026-06-10,Market intelligence search; $600M+ ARR; $350M at $7.5B (Jun 2026),"External market intel, not internal work layer",https://www.alpha-sense.com/press/alphasense-raises-350m-at-7-5b-valuation-and-surpasses-600m-in-annual-recurring-revenue/,
vanna.ai,Vanna AI,3,data-intel,active,bootstrapped,US,2023,2026-06-10,2026-06-10,Text-to-SQL agent toolkit; Vanna 2.0 agent-building pivot,Dev tool,https://vanna.ai/,
atlan.com,Atlan,3,data-intel,active,series-c,Singapore / US,2019,2026-06-10,2026-06-10,Active-metadata platform / data catalog; $206M raised,Catalog infra,https://tracxn.com/d/companies/atlan/,
alation.com,Alation,3,data-intel,active,series-e,"Redwood City, US",2012,2026-06-10,2026-06-10,Data catalog + governance + NL search; $340M raised,Catalog infra,https://www.alation.com/,
selectstar.com,Select Star (Snowflake),3,data-intel,acquired,acquired,US,2021,2026-06-10,2026-06-10,Data catalog + lineage; acquired by Snowflake (Nov 2025),Consolidation signal,https://www.snowflake.com/en/blog/snowflake-acquire-select-star/,
secoda.co,Secoda (Atlassian),3,data-intel,acquired,acquired,"Toronto, CA",2021,2026-06-10,2026-06-10,Data catalog + governance; acquired by Atlassian (Dec 2025),Consolidation signal; feeds Rovo,https://www.secoda.co/,
kinetica.com,Kinetica,3,data-intel,active,series-b,US,2013,2026-06-10,2026-06-10,Real-time analytics DB with native NL-to-SQL LLM,Database infra,https://www.kinetica.com/press-releases/kinetica-launches-native-large-language-model-for-language-to-sql-on-enterprise-data/,
cube.dev,Cube,3,infra,active,series-a,"San Francisco, US",2019,2026-06-10,2026-06-10,Open-source headless BI / semantic layer; API-first metrics for agents,Metrics infra,https://cube.dev/,
asana.com,Asana AI,3,incumbent,feature,public,"San Francisco, US",2008,2026-06-10,2026-06-10,"AI inside Asana: summaries, status updates, NL project creation","Suite-bound, no external ingestion",https://asana.com/features/asana-intelligence,
anthropic.com,Anthropic MCP ecosystem,3,infra,feature,late-stage,"San Francisco, US",2021,2026-06-10,2026-06-10,300+ MCP connectors in Claude directory (mid-2026); protocol layer for the whole space,"Infrastructure Astell builds on, not a context-layer product; watch for product moves",https://www.anthropic.com/news/model-context-protocol,
lindy.ai,Lindy,3,chief-of-staff,active,series-a,"San Francisco, US",2023,2026-06-10,2026-06-10,No-code AI agent builder for personal workflows; 1600+ integrations,"Trigger-reactive automation, not context intelligence",https://www.lindy.ai/,
martin.app,Martin,3,chief-of-staff,active,seed,"San Francisco, US",2023,2026-06-10,2026-06-10,"Personal AI assistant (YC S23): calendar, inbox, Slack, tasks",Individual EA,https://www.ycombinator.com/companies/martin,domain unverified — may be trymartin.com
fyxer.com,Fyxer,3,chief-of-staff,active,seed,"London, UK",2023,2026-06-10,2026-06-10,AI email + meeting-notes assistant for Gmail/Outlook,Email-bounded,https://www.fyxer.com/,
cora.so,Cora,3,chief-of-staff,active,seed,unknown,2024,2026-06-10,2026-06-10,"AI email assistant: screens inbox, drafts in your voice, twice-daily briefs",Email-bounded,https://virtualworkforce.ai/fyxer-vs-cora/,domain unverified — may be cora.computer
limitless.ai,Limitless (Meta),3,chief-of-staff,acquired,acquired,"San Francisco, US",2022,2026-06-10,2026-06-10,Personal memory wearable/app; acquired by Meta (Dec 2025); Rewind shut down,Personal-memory cluster exit,https://techcrunch.com/2025/12/05/meta-acquires-ai-device-startup-limitless/,
shortwave.com,Shortwave,3,chief-of-staff,active,series-a,"San Francisco, US",2021,2026-06-10,2026-06-10,AI-native email client; Tasklet email-to-Slack/Notion automations (late 2025),Email client with cross-tool hooks,https://www.shortwave.com/,
howie.com,Howie,3,chief-of-staff,active,seed,"Seattle, US",2024,2026-06-10,2026-06-10,AI scheduling assistant in email; $6M seed; 1000+ paying customers,Scheduling-only,https://www.geekwire.com/2025/ai-scheduling-assistant-howie-raises-6m-launches-publicly-with-1000-paying-customers/,domain unverified — may be howie.ai
watolabs.com,Wato,3,infra,active,seed,"San Francisco, US",2026,2026-06-10,2026-06-10,"YC W26: shared AI workspace with permissioned team memory, reusable skills, MCP tools","Agent-memory infra, dev-tool angle",https://www.ycombinator.com/companies/wato,thin source; verify
town.com,Town,2,chief-of-staff,active,series-a,"San Francisco, US",unknown,2026-06-10,2026-06-10,"Personalized AI assistant ('Townie') that learns how you work across email, calendar, Slack, docs and messaging without setup; runs on iOS/desktop/WhatsApp/Telegram/Slack/web; raised $55M Series A (a16z + Forerunner, 2026-06-03).",Individual-level chief-of-staff spanning many work tools proactively — explicit Tier 2 per rubric; cross-tool reach + heavy funding make it one positioning shift from team-level intelligence.,https://www.town.com/,Founders Jean-Denis Greze (ex-Plaid) and Tony Vincent; Series A source https://www.globenewswire.com/news-release/2026/06/03/3306172/0/en/town-raises-55m-series-a-from-a16z-and-forerunner-to-build-the-ai-assistant-that-learns-how-you-work.html ; HQ inferred from investor base.
getdot.ai,Dot,2,data-intel,active,seed,unknown,unknown,2026-06-10,2026-06-10,"AI data analyst delivering plain-English analytics inside Slack/Teams/email, with a 'Context Agent' that keeps metric definitions consistent across teams; 100+ customer teams incl. Duolingo, Airbyte, BlaBlaCar, Babbel.",Tanderrum pattern — governed natural-language analytics in data vocabulary; one connector pivot from cross-tool intelligence over a company's whole stack.,https://www.getdot.ai/,Stage/HQ/founded undisclosed on site; customer base skews European.
querio.ai,Querio,2,data-intel,active,seed,unknown,2024,2026-06-10,2026-06-10,"Agentic notebooks + AI agents that generate transparent SQL/Python over warehouses (Snowflake, BigQuery, Redshift, ClickHouse, +5), with a context layer for reusable logic/governance; positioned as a Looker replacement.",Warehouse-bounded AI analyst à la Zenlytic — Astell's promise in BI vocabulary; Tier 2 data-intel.,https://querio.ai/,'Querio Ltd' (UK Ltd) per site footer; stage undisclosed.
usecarly.com,Carly,2,direct,active,seed,unknown,unknown,2026-06-10,2026-06-10,"AI agent platform — CC an agent (each with its own email + memory) on a thread and it books meetings, updates CRM and runs ops across 100+/200+ work-tool integrations (Slack, Notion, Linear, Asana, HubSpot, Salesforce, +).",Broad multi-tool agent platform with per-agent memory; automation-first but one pivot from a cross-tool intelligence layer (cf. Lindy/Coworker trajectory).,https://www.usecarly.com/,Automation-first; funding/HQ/founded undisclosed; stage inferred.
getpancake.ai,Pancake,2,direct,active,seed,unknown,2026,2026-06-10,2026-06-10,"Slack-native multi-agent platform that runs company operations via specialized sub-agents (meeting prep, inbound, SDR) with an organizational-memory system across sessions plus email/browser/phone integrations.","Org memory + autonomous multi-tool agents acting across the company; agent-platform one pivot from Astell's lane (cf. Dust/Coworker), worth tracking despite execution-first framing.",https://www.producthunt.com/products/pancake-6,"Built by Basalt (Chris Messina, Tristan Comte, François de Fitte); launched 2026; SOC II per compliance.getbasalt.ai; stage/funding undisclosed, inferred."
claryti.ai,Claryti,2,chief-of-staff,active,bootstrapped,unknown,unknown,2026-06-10,2026-06-10,"Commitment-tracking assistant: ingests Gmail/Outlook, Slack, Google Calendar and meeting recordings (Zoom/Meet/Teams) to auto-capture promises bidirectionally and serve a daily brief of what you owe and are owed.","Cross-tool decision/commitment/owner tracking is Astell's open-loops promise, but individual-level brief rather than a team graph; one pivot from direct (cf. Read AI).",https://www.claryti.ai/,"Stage inferred (live product, $15/mo, no funding disclosed); HQ/founded undisclosed on site."
